"id","PCC","AgencyName","GDSGroup","GDS","IATA","TVPNewBusinessExecutive","TVPAccountManagerExecutive","BusinessType","City","UF","Region","MIDT","TSO2013","TSO2014","TSO2015","TSO12Months"
"7XEF5752440","7XEF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","157","          -   ","          -   ","          -   ","  "
"63UG9999999","63UG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","CAMPO GRANDE","MS","CENTRO-OESTE","180","          -   ","          -   ","          -   ","  "
"N37C9999999","N37C","MMT GAPNET (TAV) TVLX VIGENS","SAB","SAB","9999999","PROSPECT","KELLY","TOUR OPERATOR","RIBEIRAO PRETO","SP","SUDESTE","29","          -   ","          -   ","          -   ","  "
"U06H5752440","U06H","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","784","          -   ","          -   ","          -   ","  "
"63XG9999999","63XG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","PRIMAVERA DO LESTE","MT","CENTRO-OESTE","199","          -   ","          -   ","          -   ","  "
"F8IH9999999","F8IH","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","TERESOPOLIS","RJ","SUDESTE","276","","          -   ","          -   ",""
"5ML55767170","5ML5","SCHERMAN OPERADORA DE TURISMO","SAB","SAB","5767170","PROSPECT","PROSPECT","TOUR OPERATOR","CURITIBA","PR","SUL","71","          -   ","          -   ","          -   ","  "
"5QQF5752440","5QQF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","51","          -   ","          -   ","          -   ","  "
"6IWF5752440","6IWF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","165","          -   ","          -   ","          -   ","  "
"M3GH9999999","M3GH","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","ARACATUBA","SP","SUDESTE","162","","          -   ","          -   ",""
